#
# Notes:
# Distance of aircraft down the runway from integrating ground speed and transit lines.
# time x_transit(m) x_min(m) x_mid(m) x_max(m) x_transit(m)
2.4    1259.6 1452.1 1321.5 1190.9 # "Tower 1"
2.9    1288.6 1477.5 1349.3 1221.2 # "Tower 2"
3.4    1317.5 1503.2 1377.5 1251.7 # "Tower 3"
3.8    1346.8 1528.3 1404.9 1281.4 # "Tower 4"
4.3    1375.0 1554.7 1433.6 1312.6 # "Tower 5"
4.7    1404.0 1580.4 1461.6 1342.9 # "Tower 6"
6.9    1695.0 1707.0 1599.3 1491.7 # "Tower 7"
7.6    1579.4 1748.6 1644.4 1540.3 # "Concrete block hut"
8.3    1720.1 1791.8 1691.3 1590.7 # "Tower 8"
8.9    1744.6 1832.6 1735.4 1638.2 # "Tower 9"
9.6    1769.1 1872.8 1778.9 1684.9 # "Tower 10"
10.2   1793.1 1915.7 1825.2 1734.7 # "Tower 11"
10.9   1817.1 1957.1 1869.8 1782.6 # "Tower 12"
11.5   1944.1 2001.1 1917.3 1833.5 # "Tower 13"
12.1   1964.2 2037.9 1956.9 1875.9 # "Tower 14"
12.4   1984.2 2062.6 1983.5 1904.4 # "Tower 15"
13.1   2004.4 2106.9 2031.1 1955.4 # "Tower 16"
13.7   2024.8 2149.4 2076.8 2004.2 # "Tower 17"
15.6   2044.5 2282.0 2219.1 2156.2 # "Tower 18"
16.5   2064.7 2348.1 2290.0 2231.8 # "Tower 19"
17.7   2356.7 2436.2 2384.2 2332.2 # "Control tower base"
23.3   2808.8 2865.9 2842.6 2819.3 # "Chequer board hut"
24.9   2937.1 2995.6 2980.5 2965.4 # "Factory interior corner"
24.9   2965.5 2995.6 2980.5 2965.4 # "Trees right of Fedex"
25.1   2981.6 3012.0 2997.9 2983.9 # "Fedex right"
25.3   2993.9 3033.9 3021.2 3008.5 # "Fedex left"
27.2   3155.5 3189.3 3186.2 3183.2 # "Factory extreme left"
28.0   3242.5 3257.0 3258.0 3259.0 # "Tall radio tower"
29.1   3338.5 3348.1 3354.6 3361.1 # "Second control tower"
