# Notes:
# "Estimated x/y of observer."
# Columns:
# 1: x (m)
# 2: y minumum (m)
# 3: y mid (m)
# 4: y maximum (m)
3405.5   -834.500 NaN      NaN     
3406.0   -832.756 NaN      NaN     
3409.7   -832.177 NaN      NaN     
3409.8   -831.741 NaN      NaN     
3411.3   -825.645 NaN      NaN     
3413.0   -825.242 NaN      NaN     
3413.1   -825.214 NaN      NaN     
3413.2   -824.879 NaN      NaN     
3413.3   -824.734 NaN      NaN     
3413.6   NaN      -784.744 NaN     
3413.8   -824.547 NaN      NaN     
3414.0   -824.041 NaN      NaN     
3414.0   NaN      -784.325 NaN     
3414.4   -823.998 NaN      NaN     
3414.7   -823.960 NaN      NaN     
3414.8   -823.543 NaN      NaN     
3414.8   -822.690 NaN      NaN     
3414.9   -822.679 NaN      NaN     
3415.0   -822.381 NaN      NaN     
3415.0   -822.276 NaN      NaN     
3415.1   -822.269 NaN      NaN     
3415.1   -822.007 NaN      NaN     
3415.2   -821.933 NaN      NaN     
3415.2   -821.880 NaN      NaN     
3415.3   -821.791 NaN      NaN     
3415.3   -821.502 NaN      NaN     
3415.5   -821.431 NaN      NaN     
3415.7   -821.180 NaN      NaN     
3415.7   -816.872 NaN      NaN     
3415.8   -816.769 NaN      NaN     
3415.9   -816.701 NaN      NaN     
3416.2   -816.602 NaN      NaN     
3416.2   -816.502 NaN      NaN     
3416.4   -816.274 NaN      NaN     
3416.5   -816.195 NaN      NaN     
3416.6   -815.813 NaN      NaN     
3416.6   -815.752 NaN      NaN     
3416.6   -815.615 NaN      NaN     
3416.7   -815.271 NaN      NaN     
3417.0   -815.229 NaN      NaN     
3417.0   -815.029 NaN      NaN     
3417.2   -814.992 NaN      NaN     
3417.2   -814.948 NaN      NaN     
3417.2   NaN      -783.934 NaN     
3417.3   -814.797 NaN      NaN     
3417.3   NaN      -782.856 NaN     
3417.5   -814.252 NaN      NaN     
3417.6   -814.249 NaN      NaN     
3417.7   -813.689 NaN      NaN     
3417.7   -813.662 NaN      NaN     
3417.8   -813.100 NaN      NaN     
3417.9   -813.063 NaN      NaN     
3417.9   -813.050 NaN      NaN     
3418.0   -813.016 NaN      NaN     
3418.2   -812.986 NaN      NaN     
3418.3   -812.943 NaN      NaN     
3418.5   -812.934 NaN      NaN     
3418.5   -812.887 NaN      NaN     
3418.7   -812.861 NaN      NaN     
3418.7   -812.804 NaN      NaN     
3418.9   -812.172 NaN      NaN     
3419.0   NaN      -782.420 NaN     
3419.3   -812.086 NaN      NaN     
3419.3   -811.690 NaN      NaN     
3419.4   NaN      -781.944 NaN     
3419.5   NaN      NaN      -758.065
3419.6   -811.454 NaN      NaN     
3419.6   -811.221 NaN      NaN     
3419.6   -810.866 NaN      NaN     
3419.7   -810.102 NaN      NaN     
3419.7   -809.319 NaN      NaN     
3419.8   -809.128 NaN      NaN     
