# Data from the MAK final Report
# Data from Figure 48
# $1        $2      $3         $4       $5      $6        $7       $8       $9      $10
# Time    MAK d   MAK d+   MAK d-     Me d    Me d+    Me d-       ∆d      ∆d+      ∆d-
  -8.3   -580.1   -575.1   -585.0   -754.4   -718.2   -790.6   -174.3   -143.1   -205.6
  -7.3   -511.2   -506.3   -516.2   -662.0   -629.2   -694.9   -150.8   -122.8   -178.7
  -4.8   -329.4   -324.4   -334.3   -432.2   -407.1   -457.4   -102.9    -82.6   -123.1
  -2.0   -147.5   -142.6   -152.4   -178.0   -160.2   -195.9    -30.6    -17.7    -43.5
   0.0      0.0      4.9     -4.9      0.7     14.2    -12.9      0.7      9.3     -8.0
   0.7     63.9     68.8     59.0     62.5     74.9     50.2     -1.4      6.0     -8.8
   4.2    373.6    378.5    368.7    365.5    373.6    357.3     -8.1     -4.9    -11.4
   5.4    471.9    476.8    467.0    466.5    474.1    458.9     -5.4     -2.7     -8.1
   6.2    535.8    540.7    530.9    533.0    540.5    525.4     -2.9     -0.2     -5.5
   7.4    634.1    639.0    629.2    631.2    639.1    623.4     -2.9      0.0     -5.8
   7.8    658.7    663.6    653.8    663.6    671.7    655.5      4.9      8.0      1.7
   8.4    707.9    712.8    703.0    711.7    720.2    703.2      3.8      7.5      0.2
  10.2    865.2    870.1    860.3    853.1    863.9    842.3    -12.0     -6.1    -18.0
  12.3   1002.8   1007.7    997.9   1012.1   1027.3    996.8      9.2     19.6     -1.1
  12.9   1047.1   1052.0   1042.1   1056.2   1073.1   1039.2      9.1     21.2     -2.9
  13.7   1106.0   1111.0   1101.1   1114.1   1133.5   1094.7      8.0     22.5     -6.5
  14.8   1184.7   1189.6   1179.8   1191.9   1215.2   1168.5      7.2     25.6    -11.2
  16.5   1302.7   1307.6   1297.8   1307.8   1338.5   1277.2      5.2     30.9    -20.6
  18.2   1401.0   1405.9   1396.1   1418.2   1457.8   1378.6     17.2     51.9    -17.4
  19.6   1494.4   1499.3   1489.5   1504.7   1552.9   1456.5     10.4     53.6    -32.9
  20.9   1563.2   1568.1   1558.3   1581.3   1638.6   1524.1     18.1     70.5    -34.2
  22.7   1661.5   1666.4   1656.6   1681.1   1752.7   1609.6     19.6     86.3    -47.0
#  28.3   1892.6   1897.5   1887.6    970.6   1029.6    911.7   -921.9   -867.9   -976.0
